'2020-12-19', '3.3.1', '4 x (3:00 Erg; 2:30 AMRAP 4 DL @ 100, 12 WB)', 'Cyborg', 'Cyborg', 'BikeErg', '5.8km', '0:12:00', '0:00:00', '0'
'2020-12-20', '4.1.5', 'Bike 35:00', 'Hybrid', 'Endurance', 'BikeErg', '17.0km', '0:35:00', '0:00:00', '545'
'2020-12-22', '4.1.1', '6x0:30/0:30r-2:00r-6x500m/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.9km', '0:14:04', '0:08:00', '217'
'2020-12-23', '4.1.3', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '14.8km', '0:30:00', '0:00:00', '411'
'2020-12-26', '4.1.2', '8x1:30/1:30r', 'Hybrid', 'Intervals', 'Rower', '3.5km', '0:12:00', '0:12:00', '279'
'2020-12-27', '4.1.4', '4x0:20/0:40r-2:00r-10:00', 'Hybrid', 'Hybrid', 'BikeErg', '6.3km', '0:11:20', '0:04:40', '240'
'2020-12-28', '4.2.2', '2:00 max effort-2:00r-2x100cal/2:00r', 'Hybrid', 'Hybrid', 'AirDyne', '11.0km', '0:13:00', '0:06:00', '248'
'2020-12-30', '4.2.3', '??x0:30/1:00r - row 120m+5m', 'Hybrid', 'Ascending', 'Rower', '2.0km', '0:06:25', '0:11:00', '166'
'2021-01-01', '4.2.4', '10x2:00/0:30r', 'Hybrid', 'Intervals', 'Rower', '10.6km', '0:20:00', '0:05:00', '374'
'2021-01-01', '4.3.3', 'Bike 45:00', 'Hybrid', 'Endurance', 'AirDyne', '20.3km', '0:45:00', '0:00:00', '567'
'2021-01-02', '4.2.5', '4x1:00/0:30r-2:00r-4x2:00/2:00r', 'Hybrid', 'Hybrid', 'Rower', '3.4km', '0:12:00', '0:11:30', '255'
'2021-01-03', '4.3.2', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.1km', '0:36:00', '0:00:00', '500'
'2021-01-05', '4.3.1', '4x0:30/1:00r-2:00r-3x1k/2:00r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:51', '0:11:00', '279'
'2021-01-08', '4.3.4', '5x0:15/0:45r-2:00-8x500m/0:45r', 'Hybrid', 'Hybrid', 'Rower', '4.6km', '0:16:21', '0:11:45', '344'
'2021-01-09', '4.4.4', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.1km', '0:42:00', '0:00:00', '581'
'2021-01-10', '4.4.3', '6x4:00/1:00r', 'Hybrid', 'Intervals', 'BikeErg', '12.7km', '0:24:00', '0:06:00', '450'
'2021-01-11', '4.4.1', '??x1:00/0:30r - row 15cals+1cal', 'Hybrid', 'Ascending', 'BikeErg', '6.2km', '0:12:00', '0:06:00', '232'
'2021-01-12', '4.4.2', '3x1:00/2:00r-2:00r-14:00 max cals', 'Hybrid', 'Hybrid', 'BikeErg', '9.0km', '0:17:00', '0:08:00', '317'
'2021-01-14', '4.4.5', '3:00 max effort-2:00r-12x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.8km', '0:15:00', '0:08:00', '285'
'2021-01-16', '4.2.1', '4 x (1:00 Erg; 2:00 AMRAP 4 thrusters (35), 4 burpees)', 'Hybrid', 'Cyborg', 'BikeErg', '1.9km', '0:45:00', '0:00:00', '60'
'2021-01-17', '5.1.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.7km', '0:45:00', '0:00:00', '693'
'2021-01-19', '5.1.3', 'Bike 33:00 @ 6,12,18, 24 Max 0:07', 'Hybrid', 'Polarisation', 'BikeErg', '16.1km', '0:33:00', '0:00:00', '521'
'2021-01-20', '5.1.1', '6x0:45/0:45r-1:00r-10x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.9km', '0:13:45', '0:08:45', '308'
'2021-01-23', '5.1.2', '8x3:00/1:00r', 'Hybrid', 'Intervals', 'Rower', '6.5km', '0:24:00', '0:08:00', '465'
